,Date,Position,artist,song,woc
60,03/28/2019,61,SUMMER WALKER FT DRAKE,GIRLS NEED LOVE,3
61,03/28/2019,62,MUSTARD &amp; MIGOS,PURE WATER,8
62,03/28/2019,63,MEEK MILL FT DRAKE,GOING BAD,16
63,03/28/2019,64,BEBE REXHA,LAST HURRAH,4
64,03/28/2019,65,CADET &amp; DENO DRIZ,ADVICE,26
65,03/28/2019,66,FREYA RIDINGS,LOST WITHOUT YOU,36
66,03/28/2019,67,JUICE WRLD,FAST,2
67,03/28/2019,68,RITA ORA,ONLY WANT YOU,4
68,03/28/2019,69,LOUIS TOMLINSON,TWO OF US,2
69,03/28/2019,70,HARDY CAPRIO,SPONSORED,1
70,03/28/2019,71,ZEDD FT KATY PERRY,365,5
71,03/28/2019,72,SETTLE/GREATEST SHOWMAN ENS,THIS IS ME,64
72,03/28/2019,73,YUNGBLUD/HALSEY/TRAVIS BARKER,11 MINUTES,5
73,03/28/2019,74,LOUD LUXURY FT BRANDO,BODY,41
74,03/28/2019,75,GEORGE EZRA,HOLD MY GIRL,23
75,03/28/2019,76,AJ TRACEY,LADBROKE GROVE,6
76,03/28/2019,77,MARTIN JENSEN &amp; JAMES ARTHUR,NOBODY,3
77,03/28/2019,78,JUICE WRLD,HEAR ME CALLING,3
78,03/28/2019,79,PINKFONG,BABY SHARK,32
79,03/28/2019,80,ED SHEERAN,PERFECT,96
80,03/28/2019,81,CALVIN HARRIS &amp; DUA LIPA,ONE KISS,47
81,03/28/2019,82,IGGY AZALEA,SALLY WALKER,1
82,03/28/2019,83,TRAVIS SCOTT,SICKO MODE,33
83,03/28/2019,84,RODDY RICCH,DIE YOUNG,1
84,03/28/2019,85,HOZIER,ALMOST (SWEET MUSIC),3
85,03/28/2019,86,WESTLIFE,HELLO MY LOVE,10
86,03/28/2019,87,DUA LIPA,SWAN SONG,8
87,03/28/2019,88,POST MALONE,BETTER NOW,42
88,03/28/2019,89,JAX JONES/YEARS &amp; YEARS,PLAY,16
